iter	Passed	Remaining
0	148	148380
1	149	74768
2	151	50196
3	153	38160
4	154	30810
5	156	25916
6	157	22387
7	159	19733
8	160	17656
9	161	16004
10	163	14670
11	164	13529
12	165	12571
13	167	11767
14	168	11066
15	169	10447
16	171	9897
17	172	9410
18	173	8971
19	175	8587
20	176	8237
21	177	7907
22	179	7624
23	181	7360
24	182	7124
25	183	6888
26	185	6672
27	186	6469
28	221	7431
29	223	7235
30	227	7123
31	229	6943
32	231	6777
33	237	6740
34	239	6603
35	242	6497
36	246	6408
37	247	6278
38	249	6154
39	251	6034
40	253	5920
41	254	5815
42	266	5937
43	268	5835
44	270	5746
45	277	5753
46	280	5681
47	281	5587
48	283	5494
49	286	5449
50	288	5369
51	290	5289
52	291	5213
53	293	5135
54	294	5058
55	295	4984
56	297	4920
57	299	4864
58	301	4809
59	303	4748
60	304	4689
61	305	4628
62	307	4575
63	309	4521
64	311	4483
65	317	4496
66	321	4471
67	323	4435
68	325	4392
69	330	4397
70	332	4352
71	334	4313
72	336	4272
73	338	4238
74	341	4210
75	345	4196
76	346	4155
77	348	4115
78	349	4074
79	350	4035
80	352	3997
81	353	3960
82	354	3916
83	356	3883
84	358	3855
85	359	3825
86	361	3791
87	362	3761
88	364	3728
89	365	3695
90	366	3664
91	368	3635
92	369	3606
93	371	3584
94	373	3558
95	375	3532
96	376	3505
97	377	3478
98	379	3453
99	381	3431
100	382	3406
101	384	3384
102	386	3369
103	388	3345
104	389	3321
105	391	3298
106	392	3276
107	393	3253
108	394	3228
109	396	3207
110	398	3188
111	400	3174
112	402	3156
113	403	3137
114	405	3120
115	406	3101
116	408	3080
117	409	3059
118	410	3039
119	412	3021
120	413	3005
121	415	2989
122	416	2973
123	419	2963
124	421	2949
125	422	2933
126	424	2917
127	425	2899
128	427	2883
129	428	2868
130	430	2857
131	432	2844
132	434	2829
133	435	2814
134	437	2800
135	438	2784
136	439	2769
137	440	2754
138	442	2739
139	444	2728
140	445	2715
141	446	2699
142	448	2687
143	449	2673
144	451	2661
145	452	2648
146	454	2635
147	455	2624
148	458	2616
149	460	2609
150	462	2598
151	463	2587
152	465	2575
153	466	2564
154	468	2552
155	469	2541
156	472	2538
157	475	2532
158	476	2521
159	478	2510
160	479	2496
161	480	2485
162	481	2474
163	482	2461
164	484	2451
165	487	2447
166	489	2439
167	490	2429
168	492	2419
169	493	2410
170	495	2400
171	496	2390
172	497	2380
173	499	2370
174	501	2361
175	502	2353
176	504	2343
177	505	2334
178	506	2324
179	508	2314
180	509	2304
181	510	2294
182	511	2285
183	513	2276
184	515	2268
185	516	2260
186	518	2252
187	519	2243
188	520	2234
189	522	2226
190	524	2219
191	525	2212
192	527	2204
193	528	2197
194	530	2191
195	532	2185
196	534	2178
197	535	2170
198	537	2163
199	538	2155
200	539	2146
201	541	2138
202	542	2130
203	544	2124
204	546	2119
205	548	2113
206	549	2106
207	551	2101
208	553	2093
209	554	2086
210	555	2078
211	556	2069
212	558	2062
213	560	2058
214	562	2051
215	563	2045
216	564	2038
217	566	2031
218	567	2024
219	569	2017
220	570	2010
221	572	2004
222	574	2000
223	575	1994
224	577	1988
225	578	1982
226	580	1977
227	582	1972
228	584	1968
229	586	1962
230	588	1958
231	590	1953
232	591	1947
233	592	1941
234	594	1934
235	595	1929
236	597	1923
